day_of_week,hour,member_casual,total_rides
Friday,22,member,554
Friday,23,casual,112
Friday,23,member,406
Saturday,0,casual,110
Saturday,0,member,272
Saturday,1,casual,82
Saturday,1,member,172
Saturday,2,casual,60
Saturday,2,member,123
Saturday,3,casual,54
Saturday,3,member,81
Saturday,4,casual,27
Saturday,4,member,46
Saturday,5,casual,30
Saturday,5,member,76
Saturday,6,casual,40
Saturday,6,member,125
Saturday,7,casual,140
Saturday,7,member,409
Saturday,8,casual,179
Saturday,8,member,795
Saturday,9,casual,251
Saturday,9,member,1082
Saturday,10,casual,309
Saturday,10,member,1313
Saturday,11,casual,376
Saturday,11,member,1572
Saturday,12,casual,407
Saturday,12,member,1546
Saturday,13,casual,460
Saturday,13,member,1496
Saturday,14,casual,454
Saturday,14,member,1286
Saturday,15,casual,451
Saturday,15,member,1356
Saturday,16,casual,394
Saturday,16,member,1293
Saturday,17,casual,397
Saturday,17,member,1209
Saturday,18,casual,330
Saturday,18,member,986
Saturday,19,casual,214
Saturday,19,member,824
Saturday,20,casual,165
Saturday,20,member,516
Saturday,21,casual,132
Saturday,21,member,441
Saturday,22,casual,140
Saturday,22,member,351
Saturday,23,casual,131
Saturday,23,member,339
Sunday,0,casual,102
Sunday,0,member,268
Sunday,1,casual,96
Sunday,1,member,197
Sunday,2,casual,88
Sunday,2,member,119
Sunday,3,casual,61
Sunday,3,member,83
Sunday,4,casual,22
Sunday,4,member,47
Sunday,5,casual,34
Sunday,5,member,47
Sunday,6,casual,50
Sunday,6,member,94
Sunday,7,casual,66
Sunday,7,member,248
Sunday,8,casual,78
Sunday,8,member,486
Sunday,9,casual,131
Sunday,9,member,762
Sunday,10,casual,198
Sunday,10,member,882
Sunday,11,casual,241
Sunday,11,member,1108
Sunday,12,casual,279
Sunday,12,member,1092
Sunday,13,casual,284
Sunday,13,member,1224
Sunday,14,casual,333
Sunday,14,member,1134
Sunday,15,casual,320
Sunday,15,member,1108
Sunday,16,casual,343
Sunday,16,member,1129
Sunday,17,casual,286
Sunday,17,member,1103
Sunday,18,casual,204
Sunday,18,member,903
Sunday,19,casual,157
Sunday,19,member,670
Sunday,20,casual,116
Sunday,20,member,448
Sunday,21,casual,96
Sunday,21,member,321
Sunday,22,casual,93
Sunday,22,member,230
Sunday,23,casual,51
Sunday,23,member,178
